incident_id,country,first_fy,last_fy,n_alerts,kind,max_abs_z,severity,summary
Chad FY2020-2021,Chad,2020,2021,2,spike_and_reversal,13.0,high,Chad: FY2020 moved +40% and FY2021 moved -50% straight back - most likely ONE unusual year (FY2020); check that year's level first.
Cameroon FY2020-2022,Cameroon,2020,2022,3,persistent,11.5,high,"Cameroon: flagged in 3 consecutive years FY2020-FY2022 (+178%, -46%, +42%). The FY2010-2019 baseline no longer describes this country - treat as one regime change and re-fit its limits, not as 3 separate investigations."
Chad FY2023-2024,Chad,2023,2024,2,two_year_move,8.7,high,"Chad: two unusual years in the same direction, FY2023 +77% and FY2024 +99% - a two-step change rather than a one-off."
Kosovo FY2021-2024,Kosovo,2021,2024,4,persistent,8.2,high,"Kosovo: flagged in 4 consecutive years FY2021-FY2024 (+654%, -67%, +182%, -69%). The FY2010-2019 baseline no longer describes this country - treat as one regime change and re-fit its limits, not as 4 separate investigations."
Uzbekistan FY2020-2021,Uzbekistan,2020,2021,2,spike_and_reversal,7.5,high,Uzbekistan: FY2020 moved -75% and FY2021 moved +181% straight back - most likely ONE unusual year (FY2020); check that year's level first.
Kosovo FY2026,Kosovo,2026,2026,1,single,7.2,high,"Kosovo FY2026: year-over-year change of +480% is above the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 7.2 robust sigmas from the typical year (limits sit at 3), so 4.2 beyond the +92% limit."
Nicaragua FY2026,Nicaragua,2026,2026,1,single,6.4,high,"Nicaragua FY2026: year-over-year change of -91% is below the expected range -68% to +160% (learned from FY2010-2019, where a typical year was -9%); that is 6.4 robust sigmas from the typical year (limits sit at 3), so 3.4 beyond the -68% limit."
Central Asia FY2024,Central Asia,2024,2024,1,single,6.1,high,"Central Asia FY2024: year-over-year change of -97% is below the expected range -82% to +432% (learned from FY2010-2019, where a typical year was -1%); that is 6.1 robust sigmas from the typical year (limits sit at 3), so 3.1 beyond the -82% limit."
Cameroon FY2025-2026,Cameroon,2025,2026,2,two_year_move,5.1,high,"Cameroon: two unusual years in the same direction, FY2025 +55% and FY2026 +30% - a two-step change rather than a one-off."
Haiti FY2023-2024,Haiti,2023,2024,2,spike_and_reversal,5.0,medium,Haiti: FY2023 moved -45% and FY2024 moved +116% straight back - most likely ONE unusual year (FY2023); check that year's level first.
"Congo, Democratic Republic of FY2023-2025","Congo, Democratic Republic of",2023,2025,3,persistent,4.8,medium,"Congo, Democratic Republic of: flagged in 3 consecutive years FY2023-FY2025 (+102%, -49%, +80%). The FY2010-2019 baseline no longer describes this country - treat as one regime change and re-fit its limits, not as 3 separate investigations."
Pakistan FY2020,Pakistan,2020,2020,1,single,4.8,medium,"Pakistan FY2020: year-over-year change of +134% is above the expected range -58% to +56% (learned from FY2010-2019, where a typical year was -19%); that is 4.8 robust sigmas from the typical year (limits sit at 3), so 1.8 beyond the +56% limit."
Mongolia FY2020,Mongolia,2020,2020,1,single,4.7,medium,"Mongolia FY2020: year-over-year change of +723% is above the expected range -80% to +261% (learned from FY2010-2019, where a typical year was -14%); that is 4.7 robust sigmas from the typical year (limits sit at 3), so 1.7 beyond the +261% limit."
Afghanistan FY2023-2024,Afghanistan,2023,2024,2,spike_and_reversal,4.4,medium,Afghanistan: FY2023 moved -96% and FY2024 moved +1327% straight back - most likely ONE unusual year (FY2023); check that year's level first.
